Nombre,Barcode,Categoria,FechaVencimiento,Marca,Precio,Stock
Shampoo de Bebé,1000084,Cuidado Personal,2027-06-30,Johnson,55.00,70
Jabón de Tocador,1000085,Cuidado Personal,2028-03-15,Dove,18.50,250
Cepillo de Dientes,1000086,Cuidado Personal,2030-01-01,Oral-B,45.00,100
Enjuague Bucal,1000087,Cuidado Personal,2027-09-10,Listerine,85.00,65
Hilo Dental 50m,1000088,Cuidado Personal,2030-12-31,Colgate,32.00,150
Crema de Afeitar,1000089,Cuidado Personal,2027-02-25,Gillette,62.00,50
Rastrillos 4 pzs,1000090,Cuidado Personal,2030-05-20,Gillette,95.00,80
Toallas Femeninas,1000091,Cuidado Personal,2028-11-15,Saba,48.00,120
Protectores Diarios,1000092,Cuidado Personal,2028-10-10,Kotex,35.00,140
Pañales Etapa 3,1000093,Cuidado Personal,2027-08-30,Huggies,240.00,25
Toallitas Húmedas,1000094,Cuidado Personal,2026-06-25,Pampers,45.00,90
Bloqueador Solar,1000095,Cuidado Personal,2026-03-15,HawaiianTropic,195.00,30
Repelente Insectos,1000096,Cuidado Personal,2027-04-10,Off!,82.00,45
Detergente Líquido,1000097,Limpieza,2028-01-20,Persil,165.00,40
Lavatrastes Líquido,1000098,Limpieza,2027-12-31,Salvo,32.50,110
Esponja de Fibra,1000099,Limpieza,2030-01-01,ScotchBrite,14.00,200
Limpiador de Vidrios,1000100,Limpieza,2028-05-15,Windex,38.00,85
Desinfectante Spray,1000101,Limpieza,2027-10-25,Lysol,92.00,60
Pastilla Inodoro,1000102,Limpieza,2029-06-30,Harpic,22.00,140
Insecticida Casa,1000103,Limpieza,2027-03-18,Raid,68.00,75
Bolsas para Basura,1000104,Limpieza,2030-01-01,Glad,42.00,120
Papel Aluminio,1000105,Hogar,2030-12-31,Reynolds,35.00,110
Película Plástica,1000106,Hogar,2029-11-20,Glad,28.50,90
Servitoallas 2 pzs,1000107,Limpieza,2030-01-01,Regio,45.00,130
Pilas Alcalinas AA,1000108,Electronica,2031-12-31,Duracell,120.00,50
Pilas Alcalinas AAA,1000109,Electronica,2031-10-20,Energizer,120.00,50
Foco LED 10W,1000110,Hogar,2028-05-05,Philips,45.00,100
Extension Electrica,1000111,Hogar,2035-01-01,Volteck,85.00,30
Cinta Adhesiva,1000112,Hogar,2030-12-31,Scotch,22.00,150
Pegamento Blanco,1000113,Hogar,2028-09-15,Resistol,25.00,80
Cuaderno Profesional,1000114,Papeleria,2035-01-01,Scribe,32.00,200
Pluma Tinta Negra,1000115,Papeleria,2030-01-01,Bic,8.50,500
Lápiz del No. 2,1000116,Papeleria,2035-01-01,Dixon,6.00,400
Borrador Blanco,1000117,Papeleria,2035-01-01,Pelikan,10.00,150
Sacapuntas Metal,1000118,Papeleria,2035-01-01,Maped,12.00,100
Marcador Permanente,1000119,Papeleria,2028-12-31,Sharpie,25.00,120
Resaltador Amarillo,1000120,Papeleria,2028-10-10,Berol,18.00,90
Pasta Penne 500g,1000121,Pastas,2027-05-20,LaModerna,14.50,180
Puré de Tomate,1000122,Abarrotes,2026-11-30,DelFuerte,9.00,250
Caldo de Pollo pzs,1000123,Abarrotes,2027-08-15,Knorr,15.00,300
Aceitunas con Pimi,1000124,Abarrotes,2027-04-20,Carbonell,42.00,55
Vinagre de Manzana,1000125,Abarrotes,2028-12-01,Barrilito,22.50,80
Salsa Soya 150ml,1000126,Salsas,2027-09-30,Kikkoman,45.00,60
Salsa Inglesa,1000127,Salsas,2027-10-10,Crosse,38.00,50
Jugo de Limón,1000128,Bebidas,2026-08-25,Peñafiel,18.00,120
Bebida Energética,1000129,Bebidas,2026-12-01,RedBull,45.00,200
Suero Hidratante,1000130,Bebidas,2026-11-15,Electrolit,28.50,180
Refresco de Lima,1000131,Bebidas,2026-05-20,Sprite,17.00,300
Agua Purificada 5L,1000132,Bebidas,2026-10-10,Ciel,32.00,90
Jugo de Manzana,1000133,Bebidas,2026-09-05,DelValle,22.00,140
Néctar de Durazno,1000134,Bebidas,2026-08-18,Jumex,12.50,200
Cerveza Clara 6pzs,1000135,Bebidas,2026-07-20,Corona,95.00,100
Cerveza Obscura,1000136,Bebidas,2026-06-30,Victoria,98.00,100
Vino Tinto 750ml,1000137,Bebidas,2030-01-01,ConchaYtoro,180.00,20
Tequila Reposado,1000138,Bebidas,2035-01-01,JoseCuervo,350.00,15
Mezcal Joven,1000139,Bebidas,2035-01-01,400Conejos,550.00,10
Whisky 750ml,1000140,Bebidas,2035-01-01,JohnnieWalker,650.00,12
Ron Añejo 750ml,1000141,Bebidas,2035-01-01,Bacardi,220.00,25
Ginebra 750ml,1000142,Bebidas,2035-01-01,Tanqueray,480.00,8
Vodka 750ml,1000143,Bebidas,2035-01-01,Absolut,290.00,18
Hielo en Bolsa 5kg,1000144,Hogar,2026-04-10,Iglú,25.00,100
Vela Aromática,1000145,Hogar,2030-01-01,Glade,65.00,45
Incienso de Lavanda,1000146,Hogar,2028-12-31,HEM,22.00,80
Fósforos Caja pzs,1000147,Hogar,2035-01-01,LaCentral,10.00,300
Encendedor Manual,1000148,Hogar,2030-01-01,Bic,25.00,150
Carbón Vegetal 3kg,1000149,Hogar,2035-01-01,Oxxo,85.00,40
Líquido Encendido,1000150,Hogar,2028-06-15,Zippo,45.00,30
Bombilla Halogena,1000151,Ferreteria,2029-01-01,GE,15.00,100
Martillo de Acero,1000152,Ferreteria,2035-01-01,Truper,85.00,40
Destornillador Ph,1000153,Ferreteria,2035-01-01,Stanley,32.00,60
Flexometro 5m,1000154,Ferreteria,2035-01-01,Lufkin,55.00,45
Pinzas de Corte,1000155,Ferreteria,2035-01-01,Urrea,120.00,30
Llave Ajustable,1000156,Ferreteria,2035-01-01,Crescent,110.00,25
Cinta de Aislar,1000157,Ferreteria,2030-12-31,3M,18.00,200
Teflon para Rosca,1000158,Ferreteria,2030-12-31,Sayer,12.00,150
Pegamento PVC,1000159,Ferreteria,2027-05-15,Oatey,45.00,80
Cerradura Puerta,1000160,Ferreteria,2035-01-01,Yale,250.00,20
Candado de Laton,1000161,Ferreteria,2035-01-01,MasterLock,95.00,50
Brocha 2 pulgadas,1000162,Ferreteria,2035-01-01,Exito,22.00,120
Rodillo para Pintar,1000163,Ferreteria,2035-01-01,Behr,48.00,70
Thinner 1L,1000164,Ferreteria,2028-01-01,Aguarrás,35.00,60
Manguera Jardin,1000165,Ferreteria,2030-01-01,Pretul,180.00,15
Pala Cuadrada,1000166,Ferreteria,2035-01-01,Surtek,210.00,10
Malla de Alambre,1000167,Ferreteria,2035-01-01,Deacero,15.00,300
Clavos 2 pulgadas,1000168,Ferreteria,2035-01-01,Fiero,45.00,500
Tornillo Madera,1000169,Ferreteria,2035-01-01,Hillman,0.50,1000
Taquetes Plasticos,1000170,Ferreteria,2035-01-01,Fischer,25.00,400
Lija de Agua 220,1000171,Ferreteria,2030-01-01,Fandeli,10.00,200
Silicon Sellador,1000172,Ferreteria,2027-10-10,Sista,65.00,40
Alcohol Etilico,1000173,Farmacia,2028-12-31,Zuum,22.00,150
Agua Oxigenada,1000174,Farmacia,2027-05-20,Curit,15.00,100
Algodon en Bolas,1000175,Farmacia,2030-01-01,Protec,18.00,200
Curitas 20 pzs,1000176,Farmacia,2029-12-31,BandAid,32.00,180
Gasa Esteril,1000177,Farmacia,2028-06-15,J&J,12.00,250
Venda Elastica,1000178,Farmacia,2030-01-01,LeRoy,25.00,120
Termometro Digital,1000179,Farmacia,2031-12-31,Omron,145.00,40
Cubrebocas 50 pzs,1000180,Farmacia,2028-10-10,3M,120.00,60
Gel Antibacterial,1000181,Farmacia,2027-09-15,Escudo,35.00,140
Paracetamol 500mg,1000182,Farmacia,2028-01-01,Tylenol,45.00,200
Ibuprofeno 400mg,1000183,Farmacia,2027-11-30,Advil,62.00,150
Antigripal Caja,1000184,Farmacia,2027-05-20,XL3,55.00,100
Jarabe Tos Adulto,1000185,Farmacia,2027-03-15,Vick,85.00,80
Pastillas Garganta,1000186,Farmacia,2027-12-31,Strepsils,32.00,250
Antiacido Tabletas,1000187,Farmacia,2028-08-10,Tums,48.00,120
Electrolitos Polvo,1000188,Farmacia,2027-09-30,Pedialyte,25.00,180
Vitaminas Multi,1000189,Farmacia,2028-04-12,Centrum,210.00,50
Suplemento Vit C,1000190,Farmacia,2028-06-25,Redoxon,110.00,70
Crema Antimicotica,1000191,Farmacia,2027-10-10,Lotrimin,85.00,40
Pomada Labial,1000192,Farmacia,2027-12-31,Chapstick,22.00,150
Gotas Ojos 15ml,1000193,Farmacia,2027-02-15,Visine,68.00,90
Bloqueador Labial,1000194,Farmacia,2027-01-01,Nivea,42.00,110
Playera Blanca CH,1000195,Ropa,2035-01-01,FruitOfTheLoom,65.00,200
Playera Negra M,1000196,Ropa,2035-01-01,Hanes,65.00,180
Calcetines 3 pares,1000197,Ropa,2035-01-01,Wilson,85.00,150
Interior Caballero,1000198,Ropa,2035-01-01,Gildan,120.00,100
Gorra Deportiva,1000199,Ropa,2035-01-01,Adidas,250.00,40
Cinturon de Cuero,1000200,Ropa,2035-01-01,Levis,320.00,30
Agujetas Tenis,1000201,Ropa,2035-01-01,Kiwi,25.00,100
Sandalias Baño,1000202,Ropa,2035-01-01,Puma,150.00,60
Pañuelos Nariz,1000203,Ropa,2035-01-01,Kleenex,15.00,400
Bolsa de Tela,1000204,Ropa,2035-01-01,EcoBag,22.00,300
Cable USB C 1m,1000205,Electronica,2028-12-31,Belkin,145.00,80
Cargador Pared 20W,1000206,Electronica,2028-05-15,Apple,450.00,40
Audifonos In Ear,1000207,Electronica,2028-10-10,Sony,320.00,100
Mouse Pad Negro,1000208,Electronica,2035-01-01,Logitech,85.00,120
Memoria USB 64GB,1000209,Electronica,2030-01-01,Kingston,180.00,90
Micro SD 128GB,1000210,Electronica,2030-01-01,SanDisk,280.00,75
Cable HDMI 2m,1000211,Electronica,2030-01-01,Monster,120.00,60
Adaptador de Luz,1000212,Electronica,2035-01-01,Steren,45.00,150
Protector Pantalla,1000213,Electronica,2035-01-01,Zagg,110.00,200
Funda Celular Uni,1000214,Electronica,2035-01-01,Otterbox,280.00,100
Bateria Portatil,1000215,Electronica,2028-06-30,Anker,550.00,35
Bocina Bluetooth,1000216,Electronica,2028-04-12,JBL,850.00,25
Teclado Numerico,1000217,Electronica,2030-01-01,Microsoft,320.00,40
Ventilador Laptop,1000218,Electronica,2030-01-01,CoolerMaster,240.00,50
Lampara USB,1000219,Electronica,2030-01-01,Xiaomi,95.00,110
Hub USB 4 puertos,1000220,Electronica,2030-01-01,TP-Link,380.00,60
Queso Oaxaca 500g,1000221,Lacteos,2026-04-15,Lala,85.00,60
Queso Manchego,1000222,Lacteos,2026-05-10,Nochebuena,92.00,55
Yogurt Frutas 1kg,1000223,Lacteos,2026-03-20,Danone,42.00,80
Crema Acidificada,1000224,Lacteos,2026-04-12,Alpura,18.50,150
Leche Evaporada,1000225,Lacteos,2027-10-10,Carnation,19.00,240
Leche Condensada,1000226,Lacteos,2027-12-31,LaLechera,25.00,200
Media Crema 250ml,1000227,Lacteos,2027-05-15,Nestle,14.00,300
Queso Crema 190g,1000228,Lacteos,2026-06-30,Philadelphia,35.00,140
Mantequilla Con Sal,1000229,Lacteos,2026-05-25,Lala,18.00,120
Mantequilla Sin Sal,1000230,Lacteos,2026-05-25,Alpura,18.00,110
Yogurt para Beber,1000231,Lacteos,2026-03-15,Yoplait,12.50,200
Gelatina de Leche,1000232,Lacteos,2026-04-05,Dany,9.50,180
Arroz Integral 1kg,1000233,Granos,2027-08-20,SOS,38.00,100
Frijol Bayo 1kg,1000234,Granos,2026-12-31,VerdeValle,34.00,250
Garbanzo Seco 500g,1000235,Granos,2027-04-12,Schettino,22.00,150
Maiz Palomero 500g,1000236,Granos,2027-10-10,VerdeValle,18.00,200
Habas Secas 500g,1000237,Granos,2027-01-15,Schettino,28.00,90
Alpiste Bolsa 1kg,1000238,Granos,2027-05-15,Proteina,25.00,120
Semilla de Girasol,1000239,Granos,2027-03-25,Bredy,35.00,140
Chicharo Seco 500g,1000240,Granos,2027-02-18,VerdeValle,19.00,110
Aceite de Olivo,1000241,Abarrotes,2027-12-31,Carbonell,145.00,60
Aceite de Coco,1000242,Abarrotes,2027-05-20,Avelina,120.00,45
Vinagre de Arroz,1000243,Abarrotes,2028-10-30,Nakano,45.00,70
Salsa de Ostion,1000244,Abarrotes,2027-11-01,LeeKumKee,65.00,50
Aceite de Sesamo,1000245,Abarrotes,2027-09-15,S&B,85.00,35
Pasta Miso 500g,1000246,Abarrotes,2027-02-20,Marukome,110.00,25
Alga Nori 10 pzs,1000247,Abarrotes,2027-04-30,Hime,55.00,100
Sopa Ramen Instan,1000248,Abarrotes,2027-08-10,Maruchan,12.00,500
Sopa Udon Instan,1000249,Abarrotes,2027-06-15,Nongshim,28.00,150
Leche de Coco Can,1000250,Abarrotes,2027-12-31,ThaiKitchen,38.00,120
Curry en Pasta,1000251,Abarrotes,2027-10-25,MaePloy,52.00,60
Salsa Sriracha,1000252,Abarrotes,2028-05-05,HuyFong,75.00,80
Pasta de Achiote,1000253,Abarrotes,2027-03-18,LaSevillana,22.00,140
Mole Poblano Pasta,1000254,Abarrotes,2027-04-12,DoñaMaria,38.00,200
Consome Vegetal,1000255,Abarrotes,2027-08-20,Knorr,45.00,150
Sazonador Fajitas,1000256,Abarrotes,2028-02-15,Badia,22.50,180
Paprika Ahumada,1000257,Abarrotes,2028-12-01,McCormick,35.00,110
Ajo en Polvo,1000258,Abarrotes,2028-05-15,Badia,28.00,250
Cebolla en Polvo,1000259,Abarrotes,2028-05-15,Badia,28.00,240
Comino Molido,1000260,Abarrotes,2028-05-15,McCormick,28.00,200
Canela en Rama,1000261,Abarrotes,2028-10-10,Badia,45.00,100
Clavo de Olor,1000262,Abarrotes,2028-12-31,Badia,22.00,140
Oregano Seco,1000263,Abarrotes,2028-09-15,Badia,18.00,180
Hojas de Laurel,1000264,Abarrotes,2028-10-10,Badia,15.00,200
Pimienta Blanca,1000265,Abarrotes,2028-11-20,McCormick,32.00,90
Sal de Grano 1kg,1000266,Abarrotes,2030-12-31,SalSol,14.00,300
Sal Rosada Himalaya,1000267,Abarrotes,2030-12-31,Badia,65.00,85
Esencia Vainilla,1000268,Abarrotes,2028-05-05,Molina,25.00,150
Colorante Vegetal,1000269,Abarrotes,2028-09-15,McCormick,18.00,120
Polvo para Hornear,1000270,Abarrotes,2028-06-15,Royal,22.50,200
Bicarbonato Sodio,1000271,Abarrotes,2030-12-31,ArmHammer,15.00,300
Levadura Seca,1000272,Abarrotes,2027-12-31,TradiPan,12.00,180
Fecula de Maiz,1000273,Abarrotes,2027-10-25,Maizena,18.00,220
Coco Rallado Seco,1000274,Abarrotes,2027-02-10,Bredy,32.00,90
Nuez de Castilla,1000275,Abarrotes,2027-04-05,Bredy,110.00,45
Almendra Fileteada,1000276,Abarrotes,2027-04-12,Bredy,120.00,50
Cacahuate Natural,1000277,Abarrotes,2027-06-30,Mafer,35.00,120
Arandano Seco 250g,1000278,Abarrotes,2027-03-15,OceanSpray,48.00,110
Uva Pasa sin Semilla,1000279,Abarrotes,2027-04-30,SunMaid,38.00,130
Ciruela Pasa 250g,1000280,Abarrotes,2027-02-15,Sunsweet,55.00,80
Garrafon Agua 20L,1000281,Bebidas,2026-05-20,Bonafont,45.00,100
Agua con Gas 1.5L,1000282,Bebidas,2026-10-10,Perrier,42.00,60
Agua Tonica 600ml,1000283,Bebidas,2026-09-05,Schweppes,22.00,120
Refresco de Toronja,1000284,Bebidas,2026-08-18,Squirt,17.50,300
Refresco de Manzana,1000285,Bebidas,2026-07-20,SidralMundet,17.50,250
Refresco de Naranja,1000286,Bebidas,2026-06-30,Fanta,17.00,300
Refresco de Sangria,1000287,Bebidas,2026-12-31,Senorial,18.00,150
Refresco Root Beer,1000288,Bebidas,2026-11-15,A&W,25.00,80
Ginger Ale 600ml,1000289,Bebidas,2026-10-25,CanadaDry,18.50,110
Jugo de Piña 1L,1000290,Bebidas,2026-09-15,Jumex,24.00,130
Jugo de Uva 1L,1000291,Bebidas,2026-08-20,Welchs,65.00,50
Jugo de Tomate,1000292,Bebidas,2026-07-15,Clamato,32.00,90
Jugo de Arandano,1000293,Bebidas,2026-06-10,OceanSpray,55.00,75
Bebida de Sabila,1000294,Bebidas,2026-12-31,OKF,28.00,120
Bebida de Arroz,1000295,Bebidas,2026-11-20,Ades,32.00,85
Horchata Concentra,1000296,Bebidas,2026-10-10,Tucan,45.00,100
Jamaica Flor Seca,1000297,Abarrotes,2027-12-31,Bredy,48.00,150
Tamari Salsa Soya,1000298,Salsas,2027-05-15,San-J,85.00,40
Salsa Teriyaki,1000299,Salsas,2027-06-30,Kikkoman,55.00,60
Salsa Hoisin 200ml,1000300,Salsas,2027-04-12,LeeKumKee,42.00,55
Vinagre Balsamico,1000301,Abarrotes,2029-01-01,Bertolli,110.00,35
Aceite Girasol 1L,1000302,Abarrotes,2026-12-31,Nutrioli,38.00,140
Aceite de Canola,1000303,Abarrotes,2026-11-15,Capullo,42.00,120
Manteca de Cerdo,1000304,Abarrotes,2026-08-25,Zwan,35.00,80
Manteca Vegetal,1000305,Abarrotes,2027-03-25,Inca,32.00,110
Margarina sin Sal,1000306,Lacteos,2026-06-15,Iberia,14.50,180
Sustituto de Azucar,1000307,Abarrotes,2028-12-31,Splenda,85.00,150
Stevia en Polvo,1000308,Abarrotes,2028-10-10,Svetia,95.00,120
Piloncillo pza,1000309,Abarrotes,2030-12-31,Generico,10.00,300
Jarabe de Agave,1000310,Abarrotes,2028-09-15,Enature,110.00,40
Crema de Cacahuate,1000311,Abarrotes,2027-05-10,Skippy,65.00,85
Crema de Avellana,1000312,Abarrotes,2027-06-30,Nutella,92.00,70
Mantequilla Almend,1000313,Abarrotes,2027-04-12,Barney,165.00,25
Leche de Cabra 1L,1000314,Lacteos,2026-05-15,Meyenberg,85.00,30
Queso Azul 100g,1000315,Lacteos,2026-04-10,Castello,75.00,20
Queso Brie 125g,1000316,Lacteos,2026-04-05,President,95.00,15
Queso Camembert,1000317,Lacteos,2026-04-05,President,95.00,15
Queso Parmesano,1000318,Lacteos,2026-09-30,Kraft,110.00,50
Queso Ricotta 250g,1000319,Lacteos,2026-03-25,Galbani,65.00,35
Queso Mascarpone,1000320,Lacteos,2026-03-25,Galbani,120.00,20
Yogurt Liquido Fre,1000321,Lacteos,2026-03-15,Lala,12.50,300
Yogurt Liquido Dur,1000322,Lacteos,2026-03-15,Alpura,12.50,250
Yogurt Liquido Nue,1000323,Lacteos,2026-03-15,SantaClara,14.00,200
Natilla Vainilla,1000324,Lacteos,2026-03-20,Danette,11.00,180
Natilla Chocolate,1000325,Lacteos,2026-03-20,Danette,11.00,180
Arroz con Leche pza,1000326,Lacteos,2026-03-15,Lala,14.00,150
Pay de Queso Indiv,1000327,Lacteos,2026-03-10,Kir,22.00,100
Huevo Organico 12,1000328,Lacteos,2026-04-02,AiresDeCampo,65.00,40
Huevo de Codorniz,1000329,Lacteos,2026-04-05,Generico,45.00,25
Claras de Huevo 1L,1000330,Lacteos,2026-04-15,SanJuan,75.00,50
Chorizo de Pavo,1000331,Embutidos,2026-04-10,Fud,35.00,120
Chorizo Español,1000332,Embutidos,2026-05-20,Tangamanga,110.00,40
Salami Italiano,1000333,Embutidos,2026-06-15,Peñaranda,135.00,30
Pepperoni Rebanado,1000334,Embutidos,2026-06-30,Hormel,85.00,60
Tocino Ahumado,1000335,Embutidos,2026-04-12,OscarMayer,95.00,75
Tocino de Pavo,1000336,Embutidos,2026-04-12,Fud,75.00,80
Mortadela con Pist,1000337,Embutidos,2026-04-20,Capistrano,55.00,50
Pastrami Rebanado,1000338,Embutidos,2026-04-05,Tangamanga,145.00,25
Salchicha Coctel,1000339,Embutidos,2026-05-15,Fud,38.00,100
Salchicha Alemana,1000340,Embutidos,2026-05-15,Bernina,95.00,40
Jamon Serrano 100g,1000341,Embutidos,2026-06-15,Navidul,180.00,40
Jamon Real de Pavo,1000342,Embutidos,2026-04-25,SanRafael,75.00,85
Paté de Higado,1000343,Embutidos,2027-10-10,Underwood,32.00,60
Chistorra 200g,1000344,Embutidos,2026-04-30,Peñaranda,85.00,45
Moronga Embutida,1000345,Embutidos,2026-03-25,Generico,45.00,30
Nuggets de Pollo,1000346,Congelados,2026-08-30,Tyson,120.00,50
Hamburguesa de Res,1000347,Congelados,2026-09-15,SuKarne,145.00,40
Papas Corte Frances,1000348,Congelados,2026-10-10,McCain,95.00,100
Aros de Cebolla,1000349,Congelados,2026-08-20,McCain,85.00,60
Filete de Pescado,1000350,Congelados,2026-09-10,Marketside,180.00,35
Baguette Artesanal,1000351,Panaderia,2026-04-05,MasaMadre,18.00,40
Pan Integral Granos,1000352,Panaderia,2026-04-06,Bimbo,45.00,100
Donas Azucaradas 4,1000353,Panaderia,2026-04-04,KrispyKreme,55.00,60
Concha de Vainilla,1000354,Panaderia,2026-04-04,Esperanza,12.00,150
Muffin de Arandano,1000355,Panaderia,2026-04-05,Starbucks,32.00,80
Bolillo de Trigo,1000356,Panaderia,2026-04-03,Generico,2.50,500
Croissant de Mante,1000357,Panaderia,2026-04-05,Costco,15.00,200
Pay de Manzana,1000358,Panaderia,2026-04-10,McDonals,22.00,100
