,
Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
"Snack Container Set,63,Kitchen,2026-04-06,""First Industrial Realty Trust, Inc."",240.64,924"
"Multi-Port USB Hub,64,Electronics,2025-08-27,""Associated Capital Group, Inc."",123.53,239"
Fitbit Activity Tracker,65,Fitness,2026-11-13,Comerica Incorporated,613.7,735
"Brazil Nuts,66,Food - Nuts,2025-11-19,""National Western Life Group, Inc."",633.07,215"
"Siphon Coffee Maker,67,Kitchen,2025-05-07,""Post Holdings, Inc."",776.87,805"
Running Shorts,68,Clothing - Activewear,2026-06-30,Blackrock California Municipal 2018 Term Trust,68.53,478
"Smartphone Photography Tripod,69,Electronics,2025-11-09,""Trinity Industries, Inc."",787.69,417"
"Cotton Sweatpants,70,Clothing - Bottoms,2026-12-16,""Franklin Resources, Inc."",537.42,688"
"Rolling Cooler,71,Outdoor,2026-12-05,""ClubCorp Holdings, Inc."",187.75,427"
Trail Mix (Deluxe),72,Food - Snacks,2025-09-19,Stellar Acquisition III Inc.,911.11,751
Vegetable Chips,73,Food - Snacks,2025-11-10,EPR Properties,295.36,972
"Chocolate Coconut Granola,74,Food - Cereals,2026-05-28,""Collectors Universe, Inc."",405.42,531"
"Coconut Chia Pudding,75,Food - Dairy,2025-11-22,""Summer Infant, Inc."",907.24,303"
"Sliced Olives,76,Food - Condiments,2026-10-30,""Zynerba Pharmaceuticals, Inc."",930.54,479"
"Ginger Turmeric Shots,77,Food - Beverages,2026-08-01,""Provident Financial Services, Inc"",825.45,189"
Handmade Soap Making Kit,78,Crafts,2026-05-25,Highway Holdings Limited,683.18,915
"Frozen Mixed Vegetables,79,Food - Frozen,2025-09-29,""Determine, Inc. "",765.13,183"
Laundry Detergent,80,Food - Household,2026-08-19,Vince Holding Corp.,935.21,780
"Pumpkin Spice Cookies,81,Food - Bakery,2025-08-26,""Huttig Building Products, Inc."",473.04,278"
Winter Insulated Jacket,82,Clothing,2025-11-08,Public Storage,795.95,640
Underwater Camera,83,Photography,2025-11-25,Citigroup Inc.,791.06,213
"Electric Pressure Washer,84,Home Improvement,2025-07-03,""Five Prime Therapeutics, Inc."",396.9,462"
Insulated Sport Tumbler,85,Fitness,2026-07-20,Comcast Corporation,286.95,819
"Under Desk Footrest,86,Office,2026-12-15,""Legg Mason, Inc."",236.61,461"
"Sriracha Honey Glaze,87,Food - Sauces,2026-09-13,""Ryder System, Inc."",206.59,492"
Essential White Button-Up,88,Clothing - Shirts,2026-01-24,LHC Group,9.64,212
"Honey Sriracha Chicken Bites,89,Food - Frozen Foods,2026-12-18,""Lexicon Pharmaceuticals, Inc."",352.78,166"
Lentil Vegetable Curry,90,Food - Prepared Meals,2025-12-19,Transdigm Group Incorporated,268.98,643
Personalized Pet ID Tags,91,Pets,2026-11-06,Haemonetics Corporation,526.13,580
"Wireless HDMI Receiver,92,Electronics,2026-02-05,""Digital Realty Trust, Inc."",623.96,12"
"Zucchini Noodles,93,Food - Vegetables,2025-04-12,Gladstone Capital Corporation,""Texto"",466"
"Vegetable Curry,94,Food - Frozen Foods,2026-03-24,""Snyder's-Lance, Inc."",184.58,833"
Fishing Rod,95,Outdoor,2026-05-25,Sysco Corporation,222.24,53
--

Silicone Stretch Lids,96,Kitchen,2025-05-24,Sears Holdings Corporation,846.61,128
"Vegetable Medley,97,Food - Produce,2026-09-07,SBA Communications Corporation,305.5,""prueba"""
Air Mattress,98,Outdoor,2025-09-16,FIRST REPUBLIC BANK,154.88,787
Electric Toothbrush,99,Health,2025-09-30,Eaton Vance Short Diversified Income Fund,941.26,748
Tailgating Set,100,Outdoor,2026-06-23,RADA Electronic Industries Ltd.,128.03,586
Tailgating Set 2.0,12,Outdoor,2026-06-23,RADA Electronic Industries Ltd.,128.03,586
